typicalGlazingRatio typicalWindowWidth groundGlazingRatio groundWindowWidth buildingDepth balconyWidth siteWidth siteLength floorDepth groundHeight typicalHeight levelNo skylightArea netTotalArea netGroundArea buildingHeight atriumVolume roofArea groundSDA firstSDA groundASE firstASE
0.7 4 0.9 3 16 3 50 48 0.8 4 3 6 288 25632 2400 22 6336 2112 84.1 42.1 13.5 6.5
0.9 4 0.7 3 19 4 72 61 0.4 5 3 8 782 59856 4392 29 22678 3610 94.0 50.4 13.3 9.3
0.9 3 0.8 3 24 3 61 75 0.9 6 3 3 351 25569 4575 15 5265 4224 98.2 31.5 19.8 6.3
0.7 3 0.7 4 17 6 70 48 0.9 6 3 3 504.0 16416 3360 15 7560 2856 100.0 38.5 28.1 5.3
0.7 4 0.7 2 23 5 76 70 0.8 4 3 3 720.0 27840 5320 13 9360 4600 60.2 31.1 10.7 5.1
0.9 4 0.8 4 18 4 63 48 0.6 4 3 9 324 48132 3024 31 10044 2700 71.5 52.0 12.2 8.7
0.8 4 0.9 2 20 3 50 75 0.4 4 3 2 350 13688 3750 10 3500 3400 86.4 51.9 15.7 9.2
0.9 4 0.9 4 15 6 66 46 0.8 5 3 4 576.0 18912 3036 17 9792 2460 100.0 57.4 32.9 10.0
0.8 3 0.8 2 25 1 66 60 0.8 4 3 8 160.0 61632 3960 28 4480 3800 53.0 32.2 9.3 4.3
0.8 3 0.8 4 18 2 62 71 0.4 6 3 6 910 45804 4402 24 21840 3492 NaN NaN NaN NaN
0.8 4 0.9 2 17 2 48 57 0.6 6 3 2 322 9972 2736 12 3864 2414 100.0 61.6 30.3 10.6
0.9 4 0.8 2 27 6 80 64 0.8 5 3 10 260 94040 5120 35 9100 4860 65.2 32.2 8.6 6.1
0.9 4 0.8 4 18 4 48 77 0.9 4 3 5 492.0 32060 3696 19 9348 3204 68.5 NaN 13.3 NaN
0.8 2 0.7 3 31 3 76 73 0.3 5 3 6 154.0 64536 5548 23 3542 5394 66.6 35.8 9.5 2.8
0.8 4 0.7 2 16 2 77 53 0.9 6 3 9 945 62433 4081 33 31185 3136 100.0 37.6 12.6 6.1
0.9 2 0.8 3 18 2 50 74 1 5 3 6 532 39864 3700 23 12236 3168 90.3 35.2 16.5 4.8
0.8 4 0.9 3 17 3 47 79 0.7 4 3 1 585 6457 3713 7 4095 3128 99.9 61.5 25.1 7.6
0.9 4 0.7 2 16 6 75 58 0.8 5 3 3 1118.0 19830 4350 14 15652 3232 NaN NaN NaN NaN
0.8 2 0.8 2 29 2 73 79 0.4 4 3 2 315 22118 5767 10 3150 5452 59.2 40.1 12.7 5.3
0.9 4 0.9 3 29 2 75 69 0.7 3 3 6 187 60210 5175 21 3927 4988 34.9 32.6 5.9 5.7
0.8 3 0.9 3 17 4 49 63 0.4 3 3 8 435.0 42584 3087 27 11745 2652 59.5 53.8 12.1 8.8
0.9 3 0.8 3 15 4 51 75 0.6 4 3 7 945 42791 3825 25 23625 2880 91.3 55.2 17.5 9.3
0.8 3 0.7 2 28 4 67 74 0.6 6 3 9 198 84798 4958 33 6534 4760 82.9 34.3 10.3 5.1
0.8 2 0.9 3 23 4 66 60 1 3 3 5 280.0 36520 3960 18 5040 3680 34.0 28.1 6.7 3.3
0.7 2 0.8 4 16 1 75 47 0.7 6 3 10 645.0 62850 3525 36 23220 2880 100.0 41.0 23.0 2.9
0.7 2 0.8 4 15 1 47 56 0.9 3 3 6 442.0 28392 2632 21 9282 2190 49.3 37.0 10.7 0.4
0.8 4 0.7 3 18 2 66 77 0.5 4 3 4 1230 34536 5082 16 19680 3852 88.5 56.4 19.0 9.8
0.7 4 0.9 4 16 6 60 57 1 5 3 6 700 32160 3420 23 16100 2720 100.0 NaN 28.0 NaN
0.7 4 0.7 2 18 6 79 59 0.9 4 3 1 989.0 7397 4661 7 6923 3672 92.5 36.8 14.2 6.0
0.9 3 0.9 3 18 3 63 73 0.3 5 3 1 999.0 7779 4599 8 7992 3600 100.0 93.0 33.9 12.6
0.9 3 0.8 4 15 5 55 59 0.5 5 3 7 725.0 35875 3245 26 18850 2520 100.0 68.1 28.8 10.5
0.7 3 0.7 4 15 6 43 76 0.7 4 3 4 598.0 20344 3268 16 9568 2670 86.1 51.0 20.2 7.8
0.7 2 0.7 2 28 3 71 67 0.8 3 3 10 165.0 91570 4757 33 5445 4592 26.1 26.3 2.6 2.7
0.7 4 0.7 3 15 2 40 79 0.7 3 3 5 490.0 27890 3160 18 8820 2670 49.6 43.6 10.2 7.3
0.8 3 0.8 3 15 4 42 55 0.8 3 3 2 300.0 7920 2310 9 2700 2010 60.6 48.4 15.2 7.2
0.8 4 0.8 2 16 4 46 50 0.9 5 3 9 252 36252 2300 32 8064 2048 98.7 48.8 14.6 8.1
0.8 3 0.8 4 16 3 51 59 0.5 6 3 6 513 31158 3009 24 12312 2496 100.0 50.7 31.2 7.7
0.9 2 0.8 4 15 1 40 62 0.6 3 3 10 320.0 45520 2480 33 10560 2160 50.9 56.2 7.0 9.3
0.8 2 0.7 3 15 1 67 79 0.9 6 3 2 1813.0 17194 5293 12 21756 3480 100.0 60.7 39.3 9.5
0.8 4 0.8 3 21 4 66 57 0.8 4 3 5 360 33940 3762 19 6840 3402 64.6 35.5 13.0 5.6
0.8 4 0.8 2 19 5 78 49 0.5 6 3 8 440 52752 3822 30 13200 3382 100.0 49.0 12.7 6.5
0.8 2 0.8 3 17 1 68 45 0.4 4 3 1 374 5652 3060 7 2618 2686 100.0 85.1 24.4 9.9
0.8 2 0.7 3 27 4 67 69 0.4 3 3 4 195 35052 4623 15 2925 4428 38.0 37.4 5.5 3.3
0.8 2 0.7 3 16 3 43 60 0.9 3 3 9 308.0 41238 2580 30 9240 2272 34.5 41.7 6.0 5.4
0.8 2 0.8 4 17 3 51 60 0.8 4 3 1 442.0 5384 3060 7 3094 2618 100.0 55.5 23.1 5.2
0.9 3 0.7 4 18 5 77 79 0.4 5 3 7 1763 66241 6083 26 45838 4320 100.0 52.9 24.8 8.4
0.7 3 0.8 3 17 4 51 44 0.8 6 3 9 170 36342 2244 33 5610 2074 100.0 42.4 23.7 5.9
0.8 4 0.9 4 15 2 56 42 0.5 5 3 2 312 8448 2352 11 3432 2040 100.0 75.1 38.1 10.6
0.7 4 0.7 4 18 3 50 49 0.4 6 3 2 182 9040 2450 12 2184 2268 100.0 56.6 25.2 7.5
0.7 2 0.8 4 23 5 77 59 0.6 4 3 3 403 24429 4543 13 5239 4140 65.4 36.9 15.0 3.0
0.8 3 0.9 2 20 3 68 67 0.4 6 3 3 756 23970 4556 15 11340 3800 100.0 52.4 25.1 8.4
0.8 4 0.9 2 15 5 59 54 0.6 4 3 3 696 15138 3186 13 9048 2490 100.0 61.0 25.7 8.8
0.9 3 0.8 4 21 5 79 66 0.4 6 3 6 888.0 52980 5214 24 21312 4326 100.0 50.1 27.9 8.0
0.9 3 0.8 2 28 3 77 71 0.6 4 3 10 315.0 103670 5467 34 10710 5152 49.9 33.4 7.4 5.7
0.8 4 0.9 2 26 6 67 72 1 3 3 7 300 61488 4824 24 7200 4524 27.2 NaN 3.6 NaN
0.7 3 0.8 3 18 4 48 65 0.9 3 3 10 348.0 55000 3120 33 11484 2772 36.2 NaN 5.8 NaN
0.8 3 0.9 4 15 5 52 62 0.7 6 3 2 704 10208 3224 12 8448 2520 100.0 59.8 49.0 9.0
0.8 4 0.8 4 18 1 64 56 0.8 5 3 10 560.0 65080 3584 35 19600 3024 92.6 36.8 19.2 5.6
0.9 3 0.7 4 16 6 60 78 0.7 3 3 6 1288 42240 4680 21 27048 3392 48.6 NaN 10.4 NaN
0.9 4 0.8 4 15 6 44 55 0.8 4 3 9 350 34902 2420 31 10850 2070 81.4 59.6 14.8 10.6
0.8 4 0.8 4 17 1 58 64 0.7 5 3 4 720 26368 3712 17 12240 2992 100.0 52.8 30.5 9.6
0.8 4 0.7 2 17 2 45 77 1 6 3 8 473.0 49800 3465 30 14190 2992 99.5 31.9 14.0 6.5
0.9 4 0.8 2 18 4 77 60 0.8 6 3 8 984 61376 4620 30 29520 3636 100.0 45.8 17.9 8.6
0.8 3 0.9 4 15 6 57 74 0.9 6 3 5 1188.0 31260 4218 21 24948 3030 100.0 48.4 39.9 7.6
0.8 4 0.9 4 16 3 62 56 0.5 5 3 6 720 35184 3472 23 16560 2752 100.0 50.0 27.6 7.0
0.7 3 0.8 3 15 2 46 42 0.6 4 3 7 192 24808 1932 25 4800 1740 89.1 50.9 13.2 6.3
0.7 4 0.8 2 19 1 67 75 0.8 4 3 10 1073.0 88410 5025 34 36482 3952 68.2 30.3 11.2 5.2
0.9 4 0.7 4 15 3 40 47 0.6 4 3 7 170 23744 1880 25 4250 1710 85.6 NaN 12.6 NaN
0.8 2 0.9 2 16 5 56 44 0.7 5 3 3 288 12540 2464 14 4032 2176 100.0 53.1 23.2 4.4
0.8 4 0.9 3 20 4 72 59 0.4 6 3 1 608 7416 4248 9 5472 3640 100.0 60.5 37.6 5.8
0.9 2 0.8 4 23 2 80 65 0.4 3 3 9 646 85734 5200 30 19380 4554 42.8 39.8 6.3 6.1
0.8 2 0.8 4 18 3 76 63 0.8 6 3 9 1080 72522 4788 33 35640 3708 100.0 36.7 24.0 3.4
0.8 3 0.9 2 26 3 68 80 1 6 3 1 448.0 10132 5440 9 4032 4992 NaN NaN NaN NaN
0.7 4 0.8 2 15 3 68 64 0.5 3 3 7 1292 48608 4352 24 31008 3060 66.4 56.9 13.0 7.6
0.8 4 0.8 3 24 2 74 80 0.4 3 3 6 832 64560 5920 21 17472 5088 42.3 NaN 8.0 NaN
0.8 3 0.9 2 16 2 44 67 0.9 3 3 3 420.0 15816 2948 12 5040 2528 NaN NaN NaN NaN
0.8 3 0.9 3 20 2 54 64 0.5 6 3 2 336 12816 3456 12 4032 3120 100.0 51.9 32.2 8.3
0.8 4 0.9 2 16 3 66 65 0.5 6 3 4 1122 28080 4290 18 20196 3168 100.0 62.1 31.4 8.2
0.7 3 0.7 2 15 4 60 55 0.8 6 3 8 750.0 42768 3300 30 22500 2550 100.0 43.3 16.8 6.1
0.9 2 0.7 3 16 3 47 74 0.8 4 3 3 630 17844 3478 13 8190 2848 83.1 45.5 18.5 9.1
0.7 3 0.9 3 20 6 54 72 0.7 3 3 2 448 13264 3888 9 4032 3440 46.3 42.6 11.6 6.2
0.8 4 0.8 3 18 1 67 62 0.3 3 3 5 806 36920 4154 18 14508 3348 NaN NaN NaN NaN
0.8 4 0.7 2 17 4 71 49 0.3 6 3 10 555.0 59230 3479 36 19980 2924 100.0 55.2 10.7 7.7
0.7 3 0.8 3 19 6 52 68 0.6 5 3 6 420.0 35880 3536 23 9660 3116 96.7 45.1 20.9 6.1
0.8 3 0.7 3 15 1 40 48 0.4 5 3 5 180 18000 1920 20 3600 1740 100.0 64.4 19.3 9.7
0.8 2 0.8 4 16 2 72 60 0.3 3 3 1 1120 7232 4320 6 6720 3200 92.0 96.4 17.2 8.7
0.7 2 0.8 2 16 3 73 60 0.3 6 3 9 1148 64458 4380 33 37884 3232 100.0 52.1 22.2 4.1
0.8 2 0.8 2 22 5 57 64 0.8 3 3 1 260.0 6606 3648 6 1560 3388 41.5 36.9 7.7 4.2
0.9 2 0.9 2 19 3 71 57 0.9 5 3 6 627 42714 4047 23 14421 3420 94.1 37.7 18.3 5.2
0.8 2 0.7 2 15 5 41 64 1 6 3 4 374 17296 2624 18 6732 2250 100.0 46.6 19.4 7.2
0.8 2 0.9 4 25 1 74 63 0.5 6 3 8 312.0 71472 4662 30 9360 4350 98.7 35.9 22.9 2.9
0.7 4 0.8 4 15 4 47 43 0.3 4 3 9 221.0 31653 2021 31 6851 1800 94.8 61.7 15.3 7.8
0.8 3 0.8 3 26 5 78 69 1 3 3 7 442 68544 5382 24 10608 4940 NaN NaN NaN NaN
0.9 3 0.8 4 23 4 62 60 0.5 3 3 1 224.0 6912 3720 6 1344 3496 47.9 48.9 10.4 6.8
0.7 3 0.8 2 15 6 45 40 0.4 4 3 5 150 15030 1800 19 2850 1650 95.6 65.8 15.1 7.8
0.8 3 0.8 2 27 3 76 75 0.9 6 3 5 462.0 53220 5700 21 9702 5238 89.1 26.2 14.1 4.1
0.9 4 0.9 4 16 3 52 57 0.6 4 3 5 500 25610 2964 19 9500 2464 95.5 51.4 21.9 8.8
0.8 3 0.9 2 25 2 67 69 0.6 6 3 2 323.0 17526 4623 12 3876 4300 100.0 42.5 22.4 7.1
0.9 4 0.9 3 16 4 63 49 0.3 6 3 2 527 10398 3087 12 6324 2560 100.0 94.8 44.1 12.5
0.7 4 0.8 4 19 3 49 62 0.8 3 3 2 264 11132 3038 9 2376 2774 49.0 NaN 12.6 NaN
0.8 4 0.8 2 19 6 80 60 0.7 5 3 7 924.0 54348 4800 26 24024 3876 93.5 43.1 16.7 5.8
0.9 2 0.8 4 19 6 50 79 0.6 6 3 2 492 13256 3950 12 5904 3458 100.0 49.1 30.9 8.1
0.9 2 0.8 2 19 1 76 57 0.4 4 3 2 722.0 15648 4332 10 7220 3610 98.2 NaN 22.8 NaN
0.8 4 0.8 4 23 1 59 56 0.5 6 3 4 130 25712 3304 18 2340 3174 100.0 42.4 22.3 5.8
0.7 3 0.8 4 19 2 54 63 0.5 5 3 6 400 37344 3402 23 9200 3002 98.7 41.5 23.1 5.0
0.8 4 0.8 4 16 3 67 56 0.7 3 3 2 840.0 12548 3752 9 7560 2912 59.3 61.2 14.3 8.0
0.7 3 0.9 3 18 4 49 50 0.8 4 3 4 182 17752 2450 16 2912 2268 NaN NaN NaN NaN
0.9 4 0.8 2 18 1 46 73 0.7 5 3 8 370.0 49984 3358 29 10730 2988 NaN NaN NaN NaN
0.7 2 0.8 3 16 5 54 49 0.5 4 3 4 374 17712 2646 16 5984 2272 94.8 55.0 17.3 4.7
0.7 3 0.8 4 23 4 72 62 0.3 5 3 3 416.0 24336 4464 14 5824 4048 98.7 41.0 22.5 4.4
0.9 4 0.7 4 20 1 51 78 0.6 6 3 4 418.0 29744 3978 18 7524 3560 NaN NaN NaN NaN
0.8 2 0.9 2 17 4 45 74 0.7 5 3 8 440 45984 3330 29 12760 2890 95.4 45.8 21.9 5.5
0.9 2 0.9 4 21 3 67 52 0.7 6 3 4 250.0 25888 3484 18 4500 3234 100.0 NaN 28.1 NaN
0.9 2 0.8 4 17 6 80 48 0.8 3 3 2 644.0 12344 3840 9 5796 3196 53.7 48.6 16.2 3.5
0.8 4 0.8 4 22 5 74 75 0.7 3 3 1 930.0 9460 5550 6 5580 4620 NaN NaN NaN NaN
0.8 2 0.7 2 15 6 58 55 0.8 5 3 9 700.0 44100 3190 32 22400 2490 99.1 53.9 12.5 5.3
0.8 2 0.7 3 25 2 80 69 0.9 5 3 8 570 82064 5520 29 16530 4950 66.7 25.6 9.2 2.7
0.8 4 0.8 4 16 2 44 59 0.6 5 3 6 324.0 28176 2596 23 7452 2272 NaN NaN NaN NaN
0.9 2 0.9 2 23 4 60 69 0.4 4 3 10 322.0 75980 4140 34 10948 3818 68.3 45.2 10.0 7.0
0.8 4 0.9 4 18 6 57 55 0.9 3 3 1 399.0 5247 3135 6 2394 2736 50.4 44.1 12.5 7.4
0.7 3 0.8 3 22 2 79 65 0.8 3 3 5 735 46475 5135 18 13230 4400 38.8 28.5 7.9 4.2
0.9 3 0.8 3 16 4 42 77 0.3 3 3 1 450.0 5514 3234 6 2700 2784 75.5 NaN 18.5 NaN
0.8 3 0.8 4 18 5 55 67 0.6 5 3 3 589.0 18543 3685 14 8246 3096 100.0 48.8 29.0 7.3
0.9 4 0.8 2 15 2 43 65 0.6 6 3 7 455.0 34489 2795 27 12285 2340 100.0 50.9 25.6 8.5
0.8 3 0.9 3 16 5 59 43 0.3 6 3 1 297 4297 2537 9 2673 2240 100.0 96.6 46.4 10.3
0.9 4 0.7 3 23 3 59 60 0.6 5 3 7 182.0 46900 3540 26 4732 3358 79.2 NaN 9.4 NaN
0.7 4 0.9 3 25 4 78 62 0.4 6 3 3 336.0 26856 4836 15 5040 4500 100.0 35.8 25.6 4.6
0.7 2 0.8 4 23 2 60 61 0.3 5 3 4 210 27912 3660 17 3570 3450 96.2 41.5 20.3 3.6
0.8 2 0.8 4 21 5 58 75 0.5 4 3 3 528 22746 4350 13 6864 3822 75.1 44.5 17.6 4.4
0.9 2 0.8 3 16 4 50 68 0.8 5 3 4 648.0 22624 3400 17 11016 2752 100.0 55.2 23.9 5.9
0.9 3 0.8 4 16 6 66 44 0.8 3 3 1 408 4704 2904 6 2448 2496 57.4 62.2 15.4 11.1
0.7 3 0.7 3 16 1 46 68 0.8 6 3 5 504.0 28240 3128 21 10584 2624 NaN NaN NaN NaN
0.9 2 0.9 2 18 4 49 66 0.3 6 3 4 390.0 22680 3234 18 7020 2844 100.0 61.8 27.5 8.6
0.9 3 0.8 4 21 6 79 60 1 5 3 4 666 32040 4740 17 11322 4074 88.4 32.3 21.0 6.1
0.8 2 0.8 3 17 3 74 44 0.6 6 3 10 400.0 57760 3256 36 14400 2856 100.0 50.2 21.3 3.5
0.8 4 0.7 4 15 5 62 50 0.6 3 3 8 640.0 39520 3100 27 17280 2460 55.8 NaN 9.7 NaN
0.8 4 0.8 3 24 6 78 80 0.8 3 3 7 960 74424 6240 24 23040 5280 35.1 33.2 6.0 5.1
0.9 2 0.9 3 20 4 53 68 0.9 6 3 4 364 25808 3604 18 6552 3240 100.0 39.2 24.5 6.0
0.8 3 0.8 2 26 2 79 62 0.6 4 3 2 270 18724 4898 10 2700 4628 59.4 NaN 12.1 NaN
0.7 4 0.8 4 17 4 77 67 0.9 4 3 4 1419.0 32908 5159 16 22704 3740 82.7 33.4 21.6 6.1
0.7 4 0.8 4 24 1 69 66 0.8 4 3 8 378 69184 4554 28 10584 4176 NaN NaN NaN NaN
0.9 3 0.8 3 19 3 56 78 0.9 4 3 10 720.0 76320 4368 34 24480 3648 62.1 39.7 13.4 7.8
0.8 4 0.8 4 26 3 69 72 0.7 4 3 1 340.0 9338 4968 7 2380 4628 61.4 36.9 13.9 5.3
0.8 2 0.7 4 25 1 60 68 0.4 4 3 5 180.0 39600 4080 19 3420 3900 59.6 NaN 9.5 NaN
0.9 4 0.8 4 18 4 46 55 0.8 6 3 7 190 32018 2530 27 5130 2340 NaN NaN NaN NaN
0.7 3 0.8 3 21 1 63 66 0.4 4 3 10 504.0 77180 4158 34 17136 3654 67.8 NaN 11.0 NaN
0.8 3 0.9 3 17 1 45 56 0.9 3 3 6 242 28368 2520 21 5082 2278 47.7 40.1 9.6 6.4
0.7 4 0.7 4 18 6 47 61 0.7 6 3 7 275 34181 2867 27 7425 2592 100.0 47.4 20.9 7.8
0.7 3 0.8 4 17 5 71 45 0.3 5 3 10 407 54030 3195 35 14245 2788 96.8 57.6 19.6 6.2
0.8 3 0.7 2 27 2 78 68 0.9 6 3 7 336.0 70728 5304 27 9072 4968 81.2 25.7 8.9 3.7
0.7 4 0.7 4 18 3 50 61 1 4 3 6 350 32880 3050 22 7700 2700 61.9 32.2 9.4 5.8
0.7 3 0.9 3 16 3 43 56 0.5 4 3 6 264.0 25836 2408 22 5808 2144 93.4 50.2 19.4 6.7
0.9 4 0.7 4 19 2 71 72 0.5 3 3 10 1122.0 88180 5112 33 37026 3990 45.7 42.4 8.3 6.5
0.8 3 0.7 3 15 5 71 41 0.9 4 3 4 451.0 19004 2911 16 7216 2460 80.7 46.8 15.3 6.3
0.9 4 0.7 2 18 1 70 51 0.8 6 3 6 510.0 39168 3570 24 12240 3060 NaN NaN NaN NaN
0.8 4 0.8 2 15 3 62 74 0.9 5 3 3 1408.0 21828 4588 14 19712 3180 100.0 44.5 30.6 7.4
0.8 2 0.9 3 18 4 80 59 0.6 4 3 10 1012 78280 4720 34 34408 3708 NaN NaN NaN NaN
0.9 3 0.8 2 15 1 64 43 0.6 4 3 3 442.0 14892 2752 13 5746 2310 93.7 66.6 24.1 14.0
0.8 4 0.9 2 23 4 77 67 0.9 3 3 10 651 91870 5159 33 21483 4508 NaN NaN 5.0 5.0
0.7 3 0.9 3 21 4 60 65 0.9 5 3 9 414.0 62946 3900 32 13248 3486 86.0 29.6 17.6 4.9
0.8 3 0.8 4 21 4 79 57 0.7 3 3 2 555.0 15942 4503 9 4995 3948 46.0 36.9 14.4 5.8
0.9 4 0.8 2 17 5 67 47 0.3 6 3 9 429 47781 3149 33 14157 2720 100.0 67.6 17.0 13.2
0.9 2 0.8 3 18 6 65 76 0.4 4 3 4 1160 30992 4940 16 18560 3780 95.9 61.2 20.5 8.8
0.8 2 0.9 2 31 5 72 73 0.8 3 3 6 110.0 60552 5256 21 2310 5146 29.2 28.2 2.8 2.9
0.8 4 0.8 4 24 6 69 76 0.4 4 3 3 588.0 27504 5244 13 7644 4656 69.6 42.6 16.5 5.7
0.8 2 0.8 2 18 6 54 73 0.8 4 3 6 666 38484 3942 22 14652 3276 NaN NaN NaN NaN
0.8 4 0.9 3 16 6 50 78 0.8 4 3 6 828.0 36360 3900 22 18216 3072 82.7 50.9 16.4 8.4
0.9 2 0.7 3 16 1 49 64 0.7 3 3 3 544 16878 3136 12 6528 2592 49.5 63.9 11.5 14.1
0.9 2 0.9 3 24 3 68 80 0.7 3 3 4 640 39568 5440 15 9600 4800 40.4 35.0 9.0 6.2
0.9 3 0.8 4 15 2 72 42 1 3 3 10 504 53120 3024 33 16632 2520 35.2 38.1 5.3 6.9
0.9 4 0.8 3 20 1 54 73 0.9 5 3 6 462 43944 3942 23 10626 3480 86.3 36.4 15.3 6.2
0.8 2 0.7 3 16 1 79 57 0.5 3 3 7 1175.0 53781 4503 24 28200 3328 54.6 58.4 10.7 8.1
0.8 3 0.7 3 18 2 51 48 0.5 4 3 4 180 18368 2448 16 2880 2268 78.5 NaN 12.5 NaN
0.8 3 0.9 2 28 5 72 79 0.4 3 3 10 368.0 105180 5688 33 12144 5320 NaN NaN NaN NaN
0.9 2 0.8 2 16 5 72 45 1 3 3 3 520 15990 3240 12 6240 2720 43.4 40.7 9.6 3.6
0.7 2 0.7 3 15 5 75 43 0.8 6 3 5 585.0 25925 3225 21 12285 2640 100.0 48.6 25.1 3.6
0.8 4 0.7 4 21 6 52 68 0.5 3 3 5 260 31180 3536 18 4680 3276 44.5 46.2 6.9 6.3
0.7 4 0.9 3 19 4 54 49 0.9 6 3 3 176 14508 2646 15 2640 2470 100.0 34.3 27.7 5.7
0.9 3 0.8 3 19 6 61 80 0.3 3 3 10 966 78700 4880 33 31878 3914 53.0 55.6 11.1 9.6
0.7 4 0.7 2 18 1 71 69 0.9 3 3 2 1155 17006 4899 9 10395 3744 44.0 45.7 11.6 13.7
0.7 2 0.8 4 18 5 65 48 0.3 3 3 4 348 21528 3120 15 5220 2772 58.3 53.0 8.1 4.0
0.7 3 0.9 3 16 2 60 42 1 6 3 1 280.0 4592 2520 9 2520 2240 100.0 45.0 38.1 5.7
0.8 2 0.8 4 15 5 79 58 0.4 3 3 10 1372.0 69220 4582 33 45276 3210 62.0 66.7 12.6 5.4
0.7 4 0.7 2 30 1 78 70 0.6 3 3 1 180.0 10680 5460 6 1080 5280 31.5 33.9 4.3 7.5
0.7 3 0.8 2 16 6 74 45 0.4 5 3 10 546 53100 3330 35 19110 2784 99.2 62.5 13.1 6.2
0.8 4 0.8 2 15 4 73 49 0.9 4 3 4 817 23108 3577 16 13072 2760 86.5 42.4 19.4 6.8
0.8 4 0.7 3 15 3 40 53 0.4 4 3 8 230 30208 2120 28 6440 1890 89.5 NaN 12.6 NaN
0.7 3 0.9 2 26 6 64 73 0.8 3 3 2 252 17104 4672 9 2268 4420 36.1 30.3 5.2 4.3
0.8 2 0.7 3 16 3 58 55 0.8 4 3 2 598 10904 3190 10 5980 2592 98.5 53.3 17.7 4.3
0.8 3 0.9 2 15 3 67 47 0.4 4 3 7 629 37163 3149 25 15725 2520 97.5 60.0 15.1 10.0
0.8 4 0.8 2 23 5 61 75 1 3 3 3 435 24525 4575 12 5220 4140 32.3 29.0 8.1 5.7
0.8 3 0.8 2 15 4 70 44 0.9 6 3 9 560 45936 3080 33 18480 2520 100.0 44.4 15.0 6.2
0.8 2 0.8 2 15 5 79 78 0.7 3 3 5 2352.0 44510 6162 18 42336 3810 61.2 54.1 15.7 5.3
0.7 3 0.9 2 16 1 78 68 0.7 3 3 4 1656 35136 5304 15 24840 3648 60.5 58.9 15.5 15.2
0.8 4 0.8 4 17 1 44 61 0.8 6 3 9 270 45180 2684 33 8910 2414 100.0 40.8 22.0 6.6
0.8 2 0.8 3 19 4 48 77 0.5 4 3 2 390 13092 3696 10 3900 3306 83.5 46.9 17.2 5.0
0.8 2 0.9 2 19 4 48 75 0.7 5 3 9 370 57510 3600 32 11840 3230 92.3 41.5 16.0 4.9
0.8 4 0.8 2 19 4 48 65 1 4 3 2 270 11220 3120 10 2700 2850 69.3 33.6 10.7 6.5
0.8 4 0.7 3 16 5 80 80 0.7 4 3 1 2304.0 9436 6400 7 16128 4096 99.5 66.3 23.4 6.4
0.9 4 0.8 3 15 3 45 43 0.4 3 3 10 195.0 34710 1935 33 6435 1740 61.9 66.0 8.6 9.4
0.7 4 0.9 4 16 1 42 42 0.3 3 3 4 100.0 13536 1764 15 1500 1664 70.0 63.3 12.2 6.7
0.9 2 0.8 3 17 6 69 80 0.7 4 3 10 1610.0 83140 5520 34 54740 3910 76.5 51.8 15.3 7.9
0.9 2 0.8 2 22 2 69 71 0.4 6 3 6 675.0 53394 4899 24 16200 4224 100.0 43.6 17.7 6.0
0.7 2 0.9 3 17 2 77 70 0.8 3 3 8 1548.0 71200 5390 27 41796 3842 48.6 32.5 13.5 1.8
0.9 2 0.8 3 15 1 41 42 0.4 6 3 5 132 16310 1722 21 2772 1590 100.0 64.7 29.7 8.8
0.8 3 0.9 3 21 2 77 52 0.9 4 3 2 350.0 14924 4004 10 3500 3654 68.1 36.8 16.1 5.2
0.7 4 0.7 4 18 3 71 60 0.7 3 3 1 840.0 7290 4260 6 5040 3420 50.6 56.6 13.9 6.7
0.9 2 0.8 2 19 2 69 56 0.8 6 3 4 558 27832 3864 18 10044 3306 100.0 40.6 22.9 7.5
0.8 4 0.7 4 16 4 42 65 0.8 5 3 7 330.0 33054 2730 26 8580 2400 94.9 49.5 18.5 8.3
0.7 3 0.8 3 18 1 61 46 0.9 6 3 6 250 31728 2806 24 6000 2556 NaN NaN NaN NaN
0.8 3 0.8 3 16 5 61 47 0.4 4 3 2 435 9518 2867 10 4350 2432 100.0 63.2 23.2 9.5
0.7 4 0.8 2 16 4 66 71 0.4 3 3 10 1326 73980 4686 33 43758 3360 59.5 52.3 6.8 6.6
0.7 4 0.7 4 18 5 54 56 0.5 6 3 1 360.0 5208 3024 9 3240 2664 100.0 56.7 32.8 6.8
0.9 4 0.7 2 16 3 43 71 0.4 4 3 5 429.0 26705 3053 19 8151 2624 85.1 56.7 12.9 7.9
0.8 2 0.7 4 21 6 65 73 0.7 3 3 6 713 47910 4745 21 14973 4032 39.6 39.3 9.5 4.2
0.7 3 0.8 4 26 6 73 71 0.6 6 3 8 399.0 74744 5183 30 11970 4784 92.9 33.4 17.4 4.4
0.7 4 0.8 2 16 5 47 75 1 3 3 9 645.0 51525 3525 30 19350 2880 34.6 37.8 5.0 7.5
0.9 4 0.9 2 25 6 60 62 0.5 5 3 4 120.0 27648 3720 17 2040 3600 89.4 43.5 13.8 7.3
0.8 3 0.8 2 16 6 65 53 0.3 3 3 9 693 48645 3445 30 20790 2752 63.2 75.2 4.6 10.4
0.7 4 0.7 3 16 5 70 42 0.8 6 3 1 380.0 4920 2940 9 3420 2560 100.0 45.8 28.7 5.6
0.7 4 0.7 3 18 5 73 47 1 3 3 1 407 5875 3431 6 2442 3024 40.2 33.3 9.4 5.9
