typicalGlazingRatio typicalWindowWidth groundGlazingRatio groundWindowWidth buildingDepth balconyWidth siteWidth siteLength floorDepth groundHeight typicalHeight levelNo skylightArea netTotalArea netGroundArea buildingHeight atriumVolume roofArea groundSDA firstSDA groundASE firstASE
0.9 3 0.9 4 15 5 42 68 0.8 5 3 6 456 27936 2856 23 10488 2400 100.0 59.0 27.5 10.9
0.9 3 0.7 4 26 3 79 70 0.6 4 3 7 486 71876 5530 25 12150 5044 50.7 35.2 8.1 6.0
0.8 3 0.9 3 15 3 63 45 0.7 4 3 3 495 14553 2835 13 6435 2340 99.0 52.5 23.5 7.9
0.8 4 0.8 4 18 6 69 65 0.8 6 3 8 957.0 57000 4485 30 28710 3528 100.0 46.4 25.0 7.2
0.8 4 0.7 2 15 3 40 67 0.3 6 3 1 370 4672 2680 9 3330 2310 100.0 NaN 32.6 NaN
0.8 3 0.9 4 15 5 48 71 0.3 6 3 3 738 16164 3408 15 11070 2670 100.0 NaN 46.5 NaN
0.9 4 0.9 3 25 5 72 74 0.7 6 3 2 528 19136 5328 12 6336 4800 100.0 37.4 27.0 6.4
0.8 2 0.9 2 18 6 70 47 1 4 3 8 374.0 44176 3290 28 10472 2916 NaN NaN NaN NaN
0.8 4 0.8 3 20 3 69 67 0.3 4 3 3 783.0 24273 4623 13 10179 3840 93.5 54.6 18.3 8.8
0.7 2 0.9 3 18 2 67 50 0.5 4 3 5 434 30350 3350 19 8246 2916 NaN NaN NaN NaN
0.8 4 0.8 4 19 4 60 51 0.5 4 3 2 286 10980 3060 10 2860 2774 88.6 47.5 20.7 6.0
0.7 4 0.9 4 17 4 51 80 0.5 3 3 5 782.0 34050 4080 18 14076 3298 59.3 45.4 11.7 6.5
0.7 4 0.9 4 15 5 73 41 0.7 6 3 10 473.0 48730 2993 36 17028 2520 100.0 50.7 29.0 7.2
0.8 3 0.9 3 16 3 72 77 0.9 4 3 3 1800 26226 5544 13 23400 3744 99.9 43.7 22.5 5.7
0.8 4 0.8 3 20 5 55 68 0.6 5 3 10 420.0 65300 3740 35 14700 3320 90.9 44.6 17.6 6.6
0.7 2 0.9 3 20 1 72 69 0.6 6 3 4 928.0 35528 4968 18 16704 4040 100.0 47.6 31.8 8.9
0.8 4 0.8 4 20 6 68 75 0.6 6 3 8 980 66560 5100 30 29400 4120 100.0 47.6 23.3 6.4
0.8 2 0.8 4 16 1 80 47 0.9 3 3 5 720.0 33350 3760 18 12960 3040 45.5 44.4 8.8 4.3
0.8 3 0.8 3 30 1 75 75 0.6 4 3 1 225 10961 5625 7 1575 5400 54.9 37.8 11.5 7.7
0.8 3 0.8 3 26 4 69 75 0.8 5 3 4 391 38300 5175 17 6647 4784 74.4 30.9 14.2 4.8
0.8 3 0.9 3 15 1 63 41 0.9 6 3 5 363.0 23555 2583 21 7623 2220 100.0 40.7 31.5 5.2
0.7 2 0.8 4 16 4 43 44 0.7 6 3 7 132 23828 1892 27 3564 1760 100.0 49.9 25.8 1.0
0.8 3 0.8 3 15 1 73 55 0.9 6 3 2 1075.0 13630 4015 12 12900 2940 100.0 58.4 43.9 10.9
0.8 2 0.9 3 19 2 57 78 0.7 4 3 2 760 15760 4446 10 7600 3686 91.4 52.3 21.6 8.6
0.7 2 0.8 2 21 2 67 66 0.8 5 3 10 600.0 80320 4422 35 21000 3822 84.0 30.3 12.2 0.3
0.7 2 0.7 2 24 6 79 72 0.9 4 3 8 744.0 78624 5688 28 20832 4944 NaN NaN NaN NaN
0.8 2 0.9 4 16 2 76 52 0.7 5 3 7 880 47264 3952 26 22880 3072 100.0 46.6 29.5 3.6
0.8 4 0.7 3 17 3 59 63 0.4 3 3 5 725 31745 3717 18 13050 2992 59.2 53.4 11.3 8.0
0.8 3 0.8 3 17 4 77 49 0.5 6 3 2 645.0 12746 3773 12 7740 3128 100.0 59.1 40.0 7.5
0.8 4 0.9 2 15 1 42 49 0.6 5 3 3 228 11466 2058 14 3192 1830 100.0 64.5 24.8 10.7
0.8 2 0.9 4 15 5 55 40 0.8 5 3 4 250.0 14800 2200 17 4250 1950 100.0 57.3 27.4 5.0
0.8 3 0.8 2 18 3 49 64 1 3 3 4 364 22504 3136 15 5460 2772 38.9 33.4 6.4 5.6
0.7 2 0.9 3 17 2 45 72 0.6 4 3 8 418 46800 3240 28 11704 2822 80.5 40.8 15.9 4.9
0.7 3 0.7 3 16 3 63 43 0.8 3 3 10 341 47890 2709 33 11253 2368 37.7 40.0 4.6 5.0
0.7 3 0.7 3 17 4 54 66 0.9 5 3 5 640 30040 3564 20 12800 2924 98.4 35.1 15.7 6.0
0.8 4 0.9 3 16 3 61 44 0.5 3 3 2 348 9476 2684 9 3132 2336 64.9 64.7 16.2 6.3
0.9 2 0.8 3 28 1 72 74 0.3 3 3 1 288 10296 5328 6 1728 5040 43.2 48.0 9.0 9.7
0.7 4 0.7 3 15 2 41 51 0.6 5 3 1 231 3807 2091 8 1848 1860 100.0 77.9 28.0 12.7
0.8 2 0.7 4 16 1 79 42 0.8 5 3 6 470.0 36288 3318 23 10810 2848 NaN NaN NaN NaN
0.9 3 0.8 3 16 4 42 52 0.4 4 3 1 200.0 3864 2184 7 1400 1984 100.0 97.0 23.0 12.0
0.7 4 0.8 4 15 2 43 56 0.5 6 3 6 338.0 25836 2408 24 8112 2070 100.0 49.9 31.4 7.0
0.7 4 0.9 3 23 4 65 58 0.4 6 3 6 228 42000 3770 24 5472 3542 100.0 41.3 23.1 5.5
0.8 3 0.7 4 15 5 76 55 1 5 3 10 1150.0 64000 4180 35 40250 3030 96.8 NaN 15.8 NaN
0.8 3 0.9 4 15 2 72 44 0.3 4 3 8 588 44064 3168 28 16464 2580 92.9 58.1 19.9 9.2
0.8 4 0.8 4 18 2 65 58 0.9 3 3 7 638 46774 3770 24 15312 3132 40.7 35.6 6.6 6.0
