typicalFacadeGlazingRatio typicalFacadeWindowWidth groundFacadeGlazingRatio groundFacadeWindowWidth buildingDepth balconyWidth atriumArea aspectRatio groundFloorHeight typicalfloorHeight numberLevels groundSDA firstSDA groundASE firstASE
0.8 2 0.9 4 26 2 3900 0.6 5.6 2.7 5 100.0 35.2 29.1 14.6
0.9 2 0.7 3 25 1 1400 0.6 5.8 2.6 9 100.0 36.6 25.5 12.5
0.8 4 0.8 2 19 6 1300 0.8 5 2.9 10 100.0 38.1 24.2 13.5
0.8 3 0.7 4 37 4 3500 1.4 5.9 2.8 1 92.3 34.1 21.1 12.5
0.7 3 0.7 4 37 1 1000 0.9 4.3 2.7 1 53.9 31.7 17.9 10.1
0.8 2 0.8 2 39 6 3000 1.4 4.4 2.5 2 47.9 19.1 12.7 7.1
0.9 4 0.7 4 24 6 2500 1.2 3.4 2.5 3 52.8 NaN 12.2 NaN
0.8 4 0.9 3 16 4 1000 1.2 4.1 2.7 6 100.0 44.8 27.9 15.5
0.8 3 0.7 2 33 1 3800 0.9 3.1 2.6 6 35.3 29.4 10.4 10.5
0.8 2 0.8 3 19 3 2400 1.3 4.3 2.9 4 99.7 50.2 28.6 16.6
0.7 2 0.8 4 28 1 3400 0.5 3.2 2.7 7 40.4 31.0 12.2 7.0
0.9 2 0.7 3 16 4 1900 1.4 3.7 2.8 3 98.8 53.4 24.1 14.6
0.8 4 0.8 4 37 3 1700 1.1 5.3 2.6 2 74.7 27.6 20.6 8.7
0.8 3 0.8 4 36 5 3000 1.3 5.8 2.9 6 77.6 22.5 18.1 8.2
0.8 3 0.9 2 16 4 3700 0.6 4.7 2.9 9 100.0 43.3 28.1 18.1
0.8 3 0.8 3 36 3 1700 0.8 5.1 2.6 7 61.8 23.0 16.8 9.1
0.8 4 0.8 3 23 4 3800 0.9 3.9 2.8 2 88.8 39.0 23.1 11.1
0.9 4 0.8 3 37 6 3100 1.2 5.8 2.9 5 75.1 22.2 17.1 7.9
0.7 4 0.8 4 35 4 2900 1.4 3.6 2.8 7 41.8 22.2 11.3 7.0
0.8 2 0.8 3 16 3 2500 0.6 4.6 3 6 100.0 50.0 30.1 18.1
0.8 4 0.8 2 32 6 1600 0.9 3.8 2.6 6 48.4 25.1 12.8 8.3
0.7 3 0.8 3 30 6 1200 0.6 3.2 2.6 9 38.2 22.9 12.4 6.9
0.9 3 0.8 3 25 4 1000 1.4 3.5 2.7 1 61.9 46.8 17.7 17.9
0.7 2 0.8 4 34 3 1300 0.8 4.5 2.6 10 55.1 21.7 15.9 6.4
0.7 4 0.8 2 24 4 3200 1.2 3.4 2.7 5 53.3 30.3 15.7 9.2
0.9 4 0.8 4 22 1 1700 1 4.8 2.6 10 99.0 37.0 23.5 13.3
0.7 4 0.9 3 32 5 3000 1.5 4.2 2.7 9 55.7 23.6 14.5 7.0
0.9 2 0.8 2 24 6 1300 1.2 4.1 2.7 8 76.7 32.6 19.9 12.2
0.8 3 0.7 4 21 5 1700 1.4 4.5 2.7 1 99.3 54.6 22.8 18.6
0.8 2 0.8 4 22 3 3800 0.9 3.6 2.5 4 71.8 34.2 19.6 11.7
0.9 2 0.7 3 20 4 3600 1.3 5.5 2.8 5 100.0 38.7 32.5 12.4
0.9 2 0.8 4 22 5 2400 0.7 3.5 2.6 9 63.0 31.7 16.2 13.0
0.8 3 0.8 4 15 4 3100 1.3 3.1 2.5 7 88.0 42.9 16.0 11.8
0.8 4 0.9 3 18 5 3000 0.8 4.3 3 5 100.0 40.3 24.7 14.9
0.8 3 0.9 4 25 5 2300 0.6 5.9 2.5 10 100.0 26.7 25.3 7.2
0.7 2 0.8 4 21 6 3800 1.1 3.5 2.9 7 67.0 34.0 17.1 10.2
0.8 3 0.7 2 29 2 3200 1.5 4.4 2.6 10 59.4 27.3 16.7 8.4
0.9 3 0.8 4 22 6 1900 1.1 3.5 3 8 62.3 38.0 16.7 12.7
0.8 3 0.9 2 25 3 3400 0.6 3 2.6 2 47.7 40.1 14.8 12.1
0.8 4 0.9 3 24 1 1900 0.7 4.2 2.9 3 93.8 46.5 27.4 15.8
0.7 3 0.7 3 27 2 2000 0.8 6 2.7 1 100.0 42.7 29.8 14.1
0.8 2 0.8 4 32 2 2000 1.1 4.1 2.7 10 52.5 26.8 15.1 9.3
0.8 3 0.7 4 20 2 3400 0.7 5.9 2.9 3 100.0 55.1 37.8 18.7
0.8 4 0.9 3 26 4 1600 0.5 5.3 2.6 4 99.8 28.0 21.4 9.8
0.8 4 0.8 2 26 3 2300 0.6 5 2.8 7 94.6 29.3 20.1 11.0
0.7 4 0.8 4 31 5 2700 1.5 5.7 2.7 4 95.7 24.1 21.9 7.6
0.9 4 0.9 4 18 3 2300 1 4.7 2.9 9 100.0 41.5 24.9 14.9
0.9 3 0.9 2 17 1 1800 0.8 3.2 2.8 7 86.0 55.6 25.1 21.6
0.8 3 0.8 4 25 6 3300 0.7 5.1 2.6 2 99.6 27.8 23.3 11.4
0.8 3 0.8 2 37 3 3000 1.4 5.5 3 9 68.1 23.1 16.8 7.4
0.9 3 0.8 2 35 1 3300 0.5 4.7 2.7 9 56.8 27.3 18.2 9.7
0.8 2 0.9 3 17 4 2800 1.1 3.4 2.7 10 91.5 39.1 20.0 14.5
0.9 2 0.7 4 39 6 2700 1.4 5.6 2.5 6 60.2 20.7 16.5 7.6
0.8 3 0.8 3 29 6 1700 0.6 5.8 2.7 5 99.3 26.6 19.8 10.8
0.7 2 0.8 4 25 4 1000 1.1 6 2.9 1 100.0 49.8 29.1 15.6
0.8 4 0.8 3 23 2 3400 1.4 5 2.6 1 100.0 48.4 29.9 18.5
0.9 3 0.7 4 20 2 1900 0.7 3.7 2.7 3 84.0 50.2 21.9 18.8
0.8 4 0.9 2 21 5 2700 1.2 4.3 2.6 4 98.8 34.2 21.6 10.9
0.8 2 0.8 3 32 1 3100 1.1 4.7 2.9 1 88.4 39.2 21.7 16.0
0.8 2 0.8 4 32 2 1600 1 4 2.7 5 52.1 30.4 17.1 11.2
0.8 3 0.7 3 37 4 3900 0.6 4.8 2.7 2 59.1 24.8 17.3 8.4
0.8 4 0.7 3 23 3 3400 0.9 3.8 2.9 7 63.2 39.5 17.6 12.0
0.8 4 0.7 4 39 4 1600 1 3.7 2.8 2 38.3 24.5 11.2 8.1
0.9 2 0.8 3 23 4 3600 1 3.2 2.9 2 56.3 41.9 12.0 11.7
0.9 4 0.9 4 18 5 2500 0.6 3.3 2.7 4 83.5 NaN 19.9 NaN
0.7 3 0.8 2 27 5 3500 1.2 6 2.6 6 100.0 23.3 23.0 7.1
0.8 2 0.7 2 39 1 3700 0.7 3.5 2.7 10 32.1 25.1 11.3 8.9
0.9 2 0.9 3 33 4 3500 1.3 5.1 3 6 75.9 26.9 19.4 8.7
0.7 2 0.8 3 23 1 3500 0.7 5 2.8 9 99.7 40.2 27.4 11.9
0.7 2 0.7 3 21 5 3700 0.5 5.7 2.7 10 100.0 32.6 24.6 8.7
0.7 2 0.8 3 22 1 2200 1 3.4 2.8 5 67.0 47.9 23.7 15.4
0.9 4 0.9 4 36 4 3200 1.3 6 2.7 3 97.9 23.9 22.5 8.1
0.8 2 0.8 3 22 6 2800 1 4 2.7 1 94.4 54.5 19.9 22.5
0.8 4 0.8 3 25 5 3000 0.9 3.2 2.9 8 50.1 28.6 11.2 10.3
0.8 3 0.9 3 31 2 3100 1.2 5.3 2.6 3 99.1 34.9 26.1 11.4
0.7 3 0.7 2 35 3 1000 0.9 5.6 2.6 7 70.9 20.7 18.5 6.2
0.8 3 0.8 2 37 5 2100 1.4 5 2.7 4 59.4 22.1 15.1 7.3
0.8 3 0.9 2 20 3 3100 0.9 4.9 2.6 8 100.0 35.0 25.9 12.4
0.9 4 0.7 2 18 3 3200 1.4 3.7 2.8 2 96.2 54.9 24.4 13.9
0.8 3 0.7 2 25 4 3100 0.8 4.4 2.9 9 71.7 30.5 17.9 11.3
0.7 2 0.8 2 17 6 1800 0.9 3.5 2.5 6 91.5 31.5 20.4 10.4
0.9 3 0.8 4 27 4 1100 1.1 3 2.9 6 37.8 32.6 11.2 11.5
0.8 3 0.7 4 28 3 3900 1 4.9 2.7 4 89.3 32.3 20.3 10.3
0.9 2 0.9 4 40 1 3700 1.4 4.3 2.8 2 54.6 29.3 17.3 11.5
0.9 3 0.8 3 31 2 3800 0.6 5.3 2.5 5 88.4 33.3 26.2 11.7
0.8 4 0.9 4 36 3 1100 1.5 3.2 2.9 1 38.7 33.2 12.6 12.6
0.8 3 0.9 3 15 5 3000 1.3 3.8 2.8 4 100.0 45.3 27.3 16.4
0.7 4 0.8 2 23 4 3200 0.5 5.5 2.6 8 100.0 25.0 22.5 9.3
0.7 2 0.7 4 28 2 3400 1.3 4.5 2.8 2 84.3 35.1 19.1 10.0
0.9 4 0.8 2 21 3 1000 0.7 5 2.7 8 100.0 36.9 24.9 14.9
0.7 3 0.8 2 32 6 1300 1.5 4.1 2.5 3 52.9 20.0 15.3 6.6
0.8 4 0.7 2 20 1 1700 0.9 3.8 2.5 8 78.5 42.1 23.1 14.4
0.7 3 0.7 2 38 5 3200 0.6 5.2 3 8 55.6 20.9 14.2 6.7
0.8 2 0.8 2 37 1 1500 1.2 5.8 2.8 8 74.1 25.4 19.2 9.0
0.8 4 0.8 4 17 2 3000 0.6 5.2 2.8 4 100.0 54.3 39.5 20.4
0.8 4 0.7 4 31 2 2200 1.4 4.4 2.6 9 55.5 28.6 15.7 8.6
0.9 3 0.9 4 38 3 2400 0.8 4.6 2.5 10 53.3 21.4 14.5 8.4
0.8 2 0.8 3 32 4 1900 1.2 4.7 2.6 4 67.2 24.8 17.1 8.9
0.9 4 0.8 2 30 2 1300 1.5 5.8 2.8 7 98.1 28.1 20.4 9.7
0.8 4 0.7 4 29 4 2200 1.2 3.1 2.9 5 33.8 27.5 8.6 8.5
0.7 2 0.8 2 39 2 2100 1 5.3 2.8 10 58.9 21.5 16.6 6.3
0.7 4 0.8 3 39 3 1500 0.5 4.5 2.7 7 48.2 21.2 14.0 6.6
0.9 2 0.9 4 16 1 1900 1 3 3 7 78.6 74.9 21.0 23.6
0.9 4 0.7 4 28 2 2100 0.8 3.6 2.9 2 53.6 40.4 19.7 14.1
0.7 3 0.9 3 24 6 3000 1.1 5.5 2.6 9 100.0 26.9 23.1 8.5
0.9 2 0.8 4 15 1 3400 1.5 5 2.9 2 100.0 95.4 42.6 23.5
0.7 4 0.9 2 31 2 2000 0.6 3.1 2.8 9 39.4 25.0 10.3 8.1
0.9 4 0.9 4 20 2 2300 0.8 5.2 2.6 1 100.0 55.2 37.8 23.8
0.7 3 0.8 2 36 4 3400 0.6 4.9 2.8 6 57.8 21.5 14.6 5.5
0.8 4 0.8 4 27 2 3400 0.6 5.3 2.9 4 98.9 36.2 26.8 13.8
0.8 3 0.8 3 26 3 1800 0.7 3.8 2.6 1 69.0 43.0 18.9 17.4
0.8 4 0.9 2 33 5 2700 0.9 4.8 3 5 66.4 25.2 15.7 9.0
0.8 4 0.7 3 39 3 3100 0.8 4.3 3 5 43.2 25.9 11.9 7.9
0.7 4 0.8 4 36 4 1200 0.9 5 2.9 3 63.3 24.6 16.3 7.7
0.9 3 0.8 3 36 2 2900 1.1 4.6 2.9 4 59.2 28.6 17.4 10.2
0.9 3 0.8 2 39 2 3500 1.3 4.3 2.9 2 50.8 28.1 15.9 9.5
0.8 2 0.9 4 17 1 2700 1.1 4 2.8 2 100.0 73.2 38.0 23.5
0.9 2 0.8 4 27 5 3400 0.9 5.9 2.6 1 100.0 42.8 24.6 16.7
0.7 4 0.9 2 40 1 3300 0.8 4.8 2.6 8 56.4 23.3 17.5 8.8
0.8 3 0.9 3 33 2 2500 0.8 5.6 2.8 8 89.0 26.8 20.5 9.1
0.8 4 0.9 4 35 4 2900 1.1 4.4 3 3 59.6 27.9 15.8 8.1
0.8 4 0.7 4 36 5 1000 0.9 3.3 3 7 31.8 25.7 9.1 9.1
0.8 3 0.9 4 30 6 3200 1 4.9 2.9 8 81.6 26.1 16.5 9.2
0.9 4 0.8 3 17 5 1400 1.4 5.5 2.8 3 100.0 41.3 33.3 15.0
0.8 2 0.8 2 35 6 2100 0.9 4.5 2.8 3 56.6 23.1 14.6 9.0
0.9 3 0.9 4 15 5 3700 1.1 5.4 3 3 100.0 71.0 38.5 17.0
0.7 3 0.9 3 26 2 2800 0.7 4.8 2.8 1 99.9 46.3 27.5 18.0
0.7 4 0.9 4 36 1 3100 0.7 4.3 2.6 5 57.6 23.4 18.7 9.3
0.8 2 0.8 3 15 2 1600 1.4 5.7 2.7 3 100.0 62.0 46.9 20.9
0.9 3 0.8 2 33 4 2600 0.7 4.6 2.5 9 59.0 23.8 15.6 9.7
0.8 2 0.8 2 40 5 3200 1.1 3.5 2.5 5 34.0 17.4 10.2 7.0
0.8 3 0.7 3 20 1 1300 0.7 3.5 2.5 1 91.1 54.8 29.4 23.3
0.8 4 0.8 2 29 2 2400 1 4 2.8 10 56.0 32.6 17.1 10.6
0.8 2 0.8 3 32 3 1000 1.5 3.7 2.8 6 47.2 26.0 15.9 9.4
0.9 3 0.8 2 15 4 3800 0.9 4.6 2.7 8 100.0 45.2 31.0 17.5
0.9 2 0.8 4 40 2 1500 0.6 5.8 2.6 1 83.7 28.2 21.1 11.7
0.8 3 0.9 4 39 6 3300 1.2 5.3 2.7 3 67.8 20.8 16.7 6.9
0.7 3 0.8 4 28 5 2200 1.3 5.8 2.9 9 99.8 26.8 20.0 8.2
0.9 3 0.7 2 15 4 1000 1.1 4.9 2.8 4 100.0 49.2 32.9 17.6
0.8 3 0.9 4 25 1 1400 1.4 4.9 2.6 8 99.0 33.6 21.8 10.9
0.8 3 0.9 4 32 1 2800 1.2 4 2.8 10 53.3 30.0 17.2 10.6
0.9 4 0.7 4 27 1 3100 1.3 5.5 2.7 7 98.5 35.9 27.1 13.0
0.8 2 0.9 3 20 6 1500 1.1 3.8 2.7 8 92.3 35.8 22.2 13.2
0.9 3 0.8 2 31 6 3000 1.3 3.2 2.5 5 39.0 24.3 9.7 8.7
0.9 2 0.7 4 36 3 1200 0.8 4.2 2.8 2 47.9 28.0 15.0 9.6
0.8 3 0.8 4 17 1 1600 0.6 4.2 2.8 2 100.0 66.4 40.3 25.7
