typicalFacadeGlazingRatio typicalFacadeWindowWidth groundFacadeGlazingRatio groundFacadeWindowWidth buildingDepth balconyWidth atriumArea aspectRatio groundFloorHeight typicalfloorHeight numberLevels groundSDA firstSDA groundASE firstASE
0.9 4 0.9 3 23 4 2700 0.8 5.7 2.7 1 100.0 50.0 31.1 20.9
0.8 2 0.8 2 38 4 1800 0.5 3.9 2.8 4 41.2 21.3 12.5 8.7
0.9 2 0.8 4 36 2 3600 1.1 5.9 2.7 10 80.1 22.8 19.7 8.4
0.7 4 0.8 3 34 2 3100 1.4 3.4 2.5 4 41.6 26.0 15.0 8.4
0.9 4 0.8 4 30 4 2000 0.8 4 2.7 1 61.3 38.7 17.3 15.6
0.8 4 0.8 2 33 4 1100 1.1 3 2.9 2 32.2 28.4 9.8 8.4
0.8 3 0.7 4 28 5 1000 1 4.4 3 5 65.0 30.5 16.6 11.2
0.8 3 0.8 3 39 4 3900 1.3 4.3 2.7 10 43.1 20.3 12.4 7.4
0.9 3 0.8 2 23 1 2900 1 5.7 2.5 5 100.0 43.1 35.0 16.2
0.7 2 0.7 3 34 6 3400 1.1 4.5 2.7 10 50.8 22.4 14.1 5.8
0.8 2 0.8 4 16 6 2800 1.4 4.2 2.6 5 100.0 38.9 23.7 13.8
0.7 2 0.8 3 34 1 2900 0.8 4.2 2.9 6 54.7 32.5 19.2 10.7
0.7 2 0.9 2 25 5 2900 0.7 4.9 2.9 2 99.5 34.3 21.7 7.4
0.8 2 0.8 2 15 6 3800 0.7 4.3 2.7 1 100.0 91.1 29.4 31.0
0.8 2 0.9 3 15 6 3900 0.9 4.5 2.8 4 100.0 44.8 28.6 17.4
0.8 4 0.9 2 39 4 1200 1.4 5.7 2.9 5 72.2 22.8 16.8 7.8
0.7 2 0.8 2 32 4 2100 1 5.9 2.6 4 98.9 20.3 21.9 6.4
0.8 3 0.8 2 40 4 3600 1 5.4 2.8 8 59.4 20.4 16.6 7.2
0.9 2 0.7 4 29 4 2400 0.7 5.4 2.8 3 93.5 31.1 22.3 10.7
0.8 2 0.9 4 21 1 2900 1 4.7 2.5 3 100.0 44.6 33.1 14.6
0.8 4 0.7 3 17 1 1900 1.3 4.2 2.8 8 100.0 53.1 25.5 17.6
0.8 2 0.8 3 16 2 3900 1.1 4.7 2.7 1 100.0 86.2 34.9 24.1
0.9 4 0.8 4 26 4 3000 1.2 3.3 2.5 2 50.5 32.8 14.8 10.5
0.9 3 0.7 4 15 3 3300 0.9 6 2.7 4 100.0 60.9 49.4 17.6
0.8 4 0.8 3 25 5 1000 0.7 5.7 2.8 2 100.0 31.3 24.6 11.5
0.8 2 0.7 4 32 1 2600 1.4 5.6 2.9 3 95.4 35.7 25.5 13.0
0.7 4 0.8 3 30 5 2600 0.5 5 2.9 2 80.6 25.5 17.3 8.3
0.8 4 0.7 2 20 2 1800 0.5 5 2.7 3 100.0 44.9 31.9 17.1
0.8 3 0.8 3 17 3 3400 1.4 4.9 2.5 5 100.0 45.3 32.1 9.8
0.8 3 0.8 4 17 2 2600 1.3 3.1 2.6 4 75.7 51.7 19.1 19.4
0.7 3 0.9 2 18 3 1000 1 4.1 2.9 3 100.0 50.6 29.0 13.7
0.7 2 0.8 3 35 2 3600 1 3.3 2.5 9 37.7 22.4 12.6 6.7
0.7 3 0.8 3 26 5 3300 0.9 4.7 3 9 85.9 28.3 17.7 9.0
0.9 2 0.8 3 19 5 1000 0.9 3.4 2.6 7 76.8 38.5 19.5 15.3
0.8 3 0.8 4 31 4 3900 1.1 4.6 2.7 6 64.3 25.1 17.4 8.4
0.9 2 0.8 3 31 5 3100 0.8 4.5 2.6 1 74.5 34.9 16.8 13.7
0.8 2 0.9 4 35 2 2500 1.1 5.5 2.9 9 78.6 27.9 18.8 9.9
0.8 3 0.9 3 24 6 1000 1.3 4.8 2.5 7 99.5 30.5 20.8 8.7
0.9 3 0.7 2 33 3 1700 0.9 4.3 3 9 49.9 28.1 14.3 9.8
0.8 2 0.8 4 40 4 3000 0.5 5.7 2.7 9 64.0 19.2 14.4 7.8
0.8 4 0.7 4 29 6 3900 1 5.1 2.6 2 93.1 25.2 18.3 8.3
0.7 2 0.8 4 21 6 2800 1.4 5.9 2.7 5 100.0 33.7 28.4 9.1
0.8 4 0.7 3 18 2 1300 1 3.6 3 2 93.9 69.6 25.6 19.4
0.9 4 0.9 2 22 4 3700 1.1 4.5 3 6 99.0 41.2 22.3 12.0
0.8 3 0.8 3 21 1 3300 0.8 5.9 3 6 100.0 49.7 36.0 17.8
0.7 4 0.8 3 25 3 3000 0.9 4.5 2.9 7 86.5 35.8 21.9 10.7
0.9 3 0.7 2 20 2 3600 0.7 5.3 2.8 1 100.0 69.4 37.3 27.4
0.9 4 0.9 4 30 6 3400 0.6 4.6 2.7 4 70.7 25.2 16.5 10.3
0.8 3 0.8 3 31 2 3300 1.4 4.5 2.7 6 64.3 29.3 18.0 9.2
0.8 3 0.9 3 25 2 2200 1.3 5.2 3 3 100.0 42.5 30.2 14.4
0.8 3 0.8 3 29 2 2900 0.6 5.5 2.5 6 95.4 30.1 24.2 7.0
0.9 3 0.7 2 17 4 1300 1.4 5 2.8 3 100.0 48.7 31.4 14.5
0.9 3 0.8 2 23 2 3700 0.7 5 2.5 3 100.0 40.9 30.6 16.3
0.7 2 0.8 3 36 3 2900 0.6 4.4 3 2 55.4 28.1 16.9 7.4
0.8 4 0.8 4 19 3 2200 1.1 3.9 2.8 10 95.2 38.8 21.4 13.2
0.9 4 0.7 3 35 6 3700 0.8 3.8 2.9 5 42.1 23.1 11.1 8.8
0.9 3 0.8 3 28 6 3700 0.8 5 2.8 6 87.3 26.1 17.7 10.2
0.7 3 0.8 2 34 3 1400 0.7 4.5 2.6 2 61.3 23.8 18.2 6.3
0.8 2 0.9 3 22 4 3000 1.1 5.6 2.8 8 100.0 32.5 28.6 12.1
0.8 4 0.8 4 20 5 3300 1.1 3.9 2.7 7 88.4 34.4 19.0 11.7
0.8 3 0.7 4 39 4 3300 0.9 5.1 2.7 4 57.4 20.8 15.3 7.9
0.7 2 0.8 4 39 2 1100 1.1 5.7 2.5 3 74.5 20.9 19.7 6.1
0.9 2 0.7 2 24 2 1600 1.4 3.6 2.8 9 53.1 34.3 16.3 11.7
0.8 2 0.7 3 15 1 3700 1.4 5.5 2.9 8 100.0 68.4 46.6 21.4
0.8 4 0.8 4 36 3 2700 0.5 5.6 2.9 8 70.5 22.2 16.4 8.5
0.7 4 0.9 4 23 3 2600 1.1 5.3 2.5 6 100.0 26.6 29.1 9.4
0.7 4 0.7 3 27 2 1500 1.3 4.8 2.6 6 79.6 26.9 20.2 10.2
0.8 3 0.7 2 30 2 1200 1.2 5.3 2.9 9 79.0 28.3 18.9 9.9
0.8 2 0.8 2 25 3 3000 0.9 6 2.6 4 100.0 36.3 30.3 12.1
0.8 3 0.7 3 16 2 2900 1 4 2.6 8 99.6 47.8 27.0 15.9
0.7 4 0.7 2 19 4 3000 0.9 5.7 2.9 3 100.0 45.6 33.4 11.5
0.8 3 0.8 2 20 3 1800 0.8 4.4 3 8 99.1 37.9 23.1 14.4
0.9 3 0.7 4 18 4 2000 0.6 5.9 2.9 10 100.0 42.0 29.5 16.6
0.7 2 0.8 4 24 6 2900 0.9 5.1 3 4 99.6 31.3 20.9 9.7
0.9 4 0.9 4 20 2 1600 0.5 4.1 2.6 7 99.1 37.1 24.2 15.0
0.8 4 0.7 2 21 3 3500 1 5.9 2.6 6 100.0 36.8 32.6 10.8
0.7 2 0.9 3 32 2 2100 1.3 3.9 2.7 5 53.3 29.9 18.1 8.2
0.8 4 0.8 4 26 2 3700 1 4.8 2.9 1 99.3 49.6 26.4 19.3
0.9 3 0.9 3 39 6 1600 0.6 3.5 2.8 7 36.3 NaN 10.9 NaN
0.9 2 0.9 4 30 6 1700 0.6 4.9 2.6 6 81.4 26.5 17.6 10.9
0.8 3 0.8 4 35 4 2600 0.8 3.4 2.7 6 38.6 22.7 11.5 8.0
0.8 4 0.9 2 27 6 1800 1 3.5 2.8 6 51.0 29.4 14.8 9.5
0.8 2 0.9 2 22 4 2400 1 4.6 3 7 99.6 33.5 22.2 12.2
0.8 3 0.8 3 15 5 2400 1 5.1 2.5 10 100.0 44.2 34.2 12.1
0.9 2 0.8 4 29 5 3900 1 5 2.6 9 82.1 25.6 18.3 9.8
0.7 3 0.7 2 32 3 1000 1.1 4.1 3 1 55.3 40.0 16.3 14.1
0.7 4 0.8 4 17 6 1400 0.5 4 2.6 2 99.8 33.9 21.9 12.2
0.8 3 0.9 3 37 1 3600 0.6 3.3 2.6 5 37.3 29.7 16.1 13.4
0.9 3 0.7 3 36 2 3300 0.6 4.7 2.6 2 60.2 27.2 20.0 9.5
0.9 3 0.8 4 35 4 2000 0.7 5.8 2.8 7 80.5 23.6 17.7 9.1
0.7 2 0.8 4 37 4 2400 1 3.8 2.6 1 45.9 29.9 14.3 12.1
0.8 2 0.8 3 27 2 2800 0.6 3 2.6 4 37.0 35.4 12.4 11.1
0.9 4 0.7 3 35 6 3500 0.7 4.4 2.8 7 48.2 22.2 13.4 8.7
0.8 2 0.7 2 31 6 1400 0.8 3 2.9 4 35.8 26.4 6.8 10.3
0.9 2 0.8 3 38 1 3700 1.2 3.6 2.9 2 43.7 31.2 15.4 10.8
0.9 3 0.9 3 20 2 1700 0.7 3.1 3 4 63.5 58.2 18.1 18.4
0.9 4 0.7 4 19 4 1500 0.8 3.8 2.7 8 87.0 37.1 18.7 15.0
0.8 2 0.9 2 16 2 1400 1.3 4.6 2.6 2 100.0 62.8 36.2 17.9
0.9 3 0.9 4 40 1 1400 1.5 5.2 2.8 5 62.8 26.2 18.0 9.1
0.9 3 0.7 4 26 2 2000 1 4.3 2.7 10 64.3 29.7 17.2 11.3
0.8 3 0.7 4 36 2 1600 0.9 4.3 2.8 3 NaN NaN NaN NaN
0.8 3 0.8 3 21 1 3400 0.9 4.2 2.7 4 99.7 49.3 31.9 16.7
0.9 4 0.8 4 40 1 2800 1.1 4.2 2.5 1 52.2 29.5 18.1 12.3
0.7 3 0.8 2 25 6 3800 1.3 5.7 2.9 2 100.0 30.1 24.5 7.6
0.8 3 0.9 3 20 4 2800 1 3.2 2.8 1 79.1 63.1 15.1 24.8
0.9 4 0.9 2 16 5 2500 0.7 5.4 2.9 3 100.0 52.5 34.0 16.4
0.7 2 0.9 4 22 1 1800 0.9 4.1 2.9 10 89.8 40.1 22.4 10.8
0.8 3 0.9 4 36 4 1700 0.8 4.3 2.5 5 53.4 20.6 15.0 5.9
0.9 2 0.9 2 23 4 1100 1 4.4 2.7 1 99.5 49.0 23.5 21.7
0.9 3 0.7 2 17 3 1000 1.3 5.9 2.5 9 100.0 40.8 31.1 15.4
0.8 3 0.7 4 29 3 1200 1.4 4.1 2.6 7 54.5 27.5 14.6 9.3
0.8 2 0.7 4 27 6 1500 1.4 3.9 2.9 3 55.0 29.9 14.8 10.7
0.9 2 0.7 2 33 6 2100 0.7 4.7 2.7 3 57.3 24.5 15.9 9.8
0.8 2 0.8 4 36 3 3500 0.9 5.3 2.6 5 71.6 24.7 19.7 8.0
0.7 3 0.7 4 35 3 3500 1.4 5.4 3 8 64.1 23.7 17.9 6.4
0.7 4 0.8 2 34 6 2800 0.7 5.9 2.7 10 88.2 22.5 17.2 7.2
0.9 4 0.7 2 30 6 3300 1.1 5.2 2.7 8 76.3 25.7 17.0 9.6
0.8 4 0.7 3 22 5 1500 0.5 5.4 2.9 6 100.0 33.1 23.9 11.2
0.8 3 0.9 4 40 6 3000 1 3.5 2.5 7 37.6 17.1 10.2 6.6
0.8 3 0.9 3 26 6 3400 0.6 4.7 2.9 5 92.3 28.0 18.3 10.6
0.8 2 0.9 4 36 1 1100 0.7 5.2 2.7 5 71.7 28.5 21.0 10.7
0.9 4 0.9 2 23 6 2500 0.9 5.3 2.9 1 100.0 57.4 26.6 22.5
0.9 3 0.8 3 24 2 2600 1.2 3.1 3 1 54.0 60.9 15.4 17.6
0.8 2 0.9 3 15 3 2400 0.5 5.4 2.6 1 100.0 85.4 46.5 32.4
0.8 4 0.8 3 21 2 2500 1.2 5.3 2.8 9 100.0 NaN 28.8 NaN
0.8 2 0.8 4 27 3 2500 0.7 3.3 2.9 1 50.7 44.0 16.3 18.6
0.9 2 0.8 4 21 1 3500 1 4.2 2.7 9 93.7 45.1 26.7 16.3
0.9 2 0.7 4 22 5 2000 1.3 5 2.8 10 99.3 32.9 19.7 11.8
0.9 2 0.8 2 18 3 3200 0.7 3.2 2.8 3 76.3 52.2 17.4 16.1
0.8 2 0.7 4 22 1 2100 0.9 5.5 2.7 5 100.0 44.6 33.8 16.7
0.8 3 0.8 2 33 5 2000 1.2 3 2.7 3 31.4 24.5 9.2 9.2
0.8 2 0.9 3 37 4 2700 0.8 3.6 2.7 6 39.1 22.0 14.3 8.7
0.8 3 0.9 4 37 2 2700 0.7 3.1 2.9 2 36.3 30.0 13.2 10.8
0.8 3 0.7 3 20 2 3500 1.3 5.2 2.8 10 100.0 43.2 26.9 14.1
0.7 4 0.9 3 19 2 3800 0.7 3.4 2.6 4 88.3 51.0 22.7 15.1
0.9 4 0.7 4 18 6 1600 0.6 4.4 2.8 7 NaN NaN NaN NaN
0.9 3 0.7 4 18 5 1200 0.8 3.2 2.8 8 64.1 41.9 13.9 16.4
0.9 3 0.7 4 22 3 1900 0.5 4.5 2.8 1 98.6 57.7 30.2 29.2
0.7 2 0.9 2 33 3 1700 1.3 3.4 2.9 3 44.1 29.9 14.1 7.6
0.7 4 0.9 4 15 2 3800 0.8 4.8 3 9 100.0 61.6 33.1 15.7
0.7 4 0.8 4 31 3 2700 1.1 3.3 2.7 7 39.4 25.7 13.1 8.3
0.8 2 0.8 3 28 1 1700 1 4.8 2.6 1 99.5 40.8 26.2 15.0
0.8 3 0.7 2 38 2 3500 0.6 4.4 2.7 4 49.1 25.2 14.3 10.3
0.8 2 0.8 2 17 4 2700 0.6 3.4 2.9 3 88.8 51.1 19.8 16.6
0.9 4 0.9 4 24 1 2500 1.5 4.2 2.7 1 98.8 48.6 27.4 16.9
0.7 4 0.8 3 27 5 2000 0.9 3.6 2.6 6 51.9 24.6 14.6 8.9
0.9 4 0.9 2 36 1 1100 1.4 3.1 2.8 2 38.2 32.6 10.9 11.1
0.9 3 0.8 4 15 1 2300 0.9 4.2 2.9 8 100.0 73.0 33.8 22.0
0.8 3 0.8 3 35 5 3100 0.5 5.3 2.8 2 73.7 23.6 18.3 9.0
0.7 3 0.9 4 26 2 1200 1.3 5.7 2.6 9 100.0 26.2 22.4 7.8
0.8 3 0.8 3 35 4 1900 0.9 5 2.6 4 64.9 23.1 16.4 8.9
0.9 2 0.7 2 30 5 2100 1 3.8 2.7 1 51.1 38.6 13.4 14.9
0.8 4 0.8 4 38 5 2800 1.1 5.5 2.5 8 65.8 18.6 17.0 6.7
0.8 4 0.9 4 30 6 1000 1.1 5.6 2.9 4 98.9 28.8 21.0 10.1
0.8 3 0.9 2 24 4 1000 1 5.9 3 2 100.0 40.4 31.3 12.5
0.7 2 0.9 4 16 1 1900 0.5 3.4 2.7 2 98.9 71.8 37.4 27.5
0.7 3 0.8 4 19 4 3800 0.7 5.5 2.9 8 100.0 34.4 27.2 8.6
0.9 3 0.7 3 15 5 2900 0.5 4.7 2.8 4 100.0 45.7 28.9 19.5
0.8 2 0.8 2 17 3 2100 1 3.7 2.6 2 99.2 52.0 25.5 14.3
0.7 2 0.9 3 34 2 3400 0.7 5.3 3 3 88.5 29.7 22.3 8.5
0.8 3 0.8 4 20 1 3600 1.1 4.2 3 9 98.2 51.6 28.6 16.4
0.9 4 0.7 4 27 6 1400 1.2 4 2.8 10 57.4 30.2 14.9 10.9
0.8 4 0.8 2 24 5 3800 1.2 4.6 2.5 10 90.6 26.5 18.6 9.3
0.8 2 0.7 2 35 4 3000 0.8 5.4 2.7 1 85.4 32.8 20.7 15.4
0.7 3 0.8 2 29 6 2300 0.8 5.7 2.8 5 98.7 26.0 19.7 6.7
0.7 2 0.8 4 22 5 2000 0.6 3.7 2.6 6 66.7 28.8 18.3 8.9
0.8 3 0.9 2 32 3 1500 1.5 4.9 2.9 3 76.7 30.9 19.4 10.4
0.8 3 0.8 2 36 1 1000 1.2 4 2.6 10 44.4 25.1 14.1 8.2
0.8 2 0.7 3 27 5 2600 0.6 4.7 2.6 2 83.7 27.7 19.0 11.6
0.7 2 0.7 3 37 2 2300 1.2 5.1 2.5 9 58.5 21.1 17.1 6.8
0.8 2 0.8 4 39 1 2200 0.5 5 2.7 1 66.0 29.8 20.1 12.5
0.8 3 0.7 2 21 6 1000 1.4 3.2 2.8 9 51.5 36.8 12.1 12.7
0.8 4 0.8 4 32 5 1000 1 5.3 3 6 81.3 28.0 20.0 9.7
0.9 4 0.8 2 37 3 2100 1.1 3.7 2.7 8 39.0 23.0 11.5 8.6
0.9 3 0.9 4 33 1 2300 0.9 6 2.8 4 100.0 32.3 27.9 12.0
0.8 3 0.8 3 17 1 2500 1 5 2.7 8 100.0 52.5 39.4 19.3
0.8 3 0.9 4 21 4 3800 1.1 4.5 2.9 6 99.6 35.1 23.5 12.1
0.8 4 0.7 2 32 5 2000 0.6 3.8 2.7 7 46.2 24.3 12.3 8.8
0.8 2 0.7 4 23 1 1600 1.3 5.7 2.8 9 100.0 40.4 27.6 12.5
0.8 2 0.7 4 37 6 1400 1.1 4.8 2.7 2 56.1 22.6 14.9 8.7
0.8 2 0.8 2 26 4 1700 0.5 3.3 2.9 3 48.0 30.0 14.5 12.1
0.8 3 0.9 3 40 1 2100 0.9 4.7 3 5 55.2 26.7 16.3 9.7
0.8 2 0.7 3 21 2 3000 0.7 3.7 2.6 8 69.4 36.7 18.6 14.0
0.8 2 0.8 3 19 5 1700 0.7 5 2.7 10 100.0 35.9 24.4 14.9
0.7 4 0.8 3 33 6 1600 1.1 5.5 2.6 6 82.0 21.4 18.8 7.4
0.7 2 0.8 4 38 2 2100 1.4 5.9 2.7 10 72.1 22.6 16.9 5.6
0.8 4 0.7 2 35 3 2900 1 5.2 2.6 5 67.1 26.2 18.7 7.4
0.7 4 0.7 4 34 6 1700 1.4 3.3 2.8 4 34.3 24.1 9.6 7.7
0.8 3 0.8 3 35 5 1600 1 4.5 2.8 1 60.1 33.3 16.5 13.8
0.9 3 0.8 4 17 5 3600 1 4.6 2.6 7 100.0 38.4 26.4 14.8
0.7 3 0.9 4 22 2 1500 1.2 5.6 2.8 6 100.0 37.5 29.6 8.9
0.8 4 0.7 2 22 1 3800 1.4 6 2.7 7 100.0 44.8 34.3 15.5
0.8 2 0.7 2 17 5 1900 0.8 5.6 3 4 100.0 43.1 31.9 16.4
0.7 3 0.8 4 34 6 3000 1.1 4.5 2.8 4 57.3 22.9 14.9 5.8
0.8 3 0.7 3 20 4 1700 0.6 5.6 2.8 9 100.0 35.5 26.2 14.6
0.7 3 0.8 4 21 2 3700 1 6 2.6 4 100.0 40.2 37.5 10.8
0.8 2 0.8 2 19 6 2900 0.6 4.1 2.7 2 98.2 37.7 23.8 15.3
0.7 4 0.7 2 15 1 3600 1 3.5 2.6 8 98.8 59.4 28.5 18.7
0.7 2 0.8 4 32 6 2400 0.7 5.2 2.5 10 76.6 18.8 18.1 6.2
0.8 2 0.7 2 32 4 3100 0.8 4.8 2.6 9 60.3 23.8 16.0 9.1
0.7 4 0.8 4 20 3 2600 1.1 4.5 2.7 8 99.7 34.4 24.4 10.5
0.9 2 0.8 3 26 1 2100 1.4 5.8 2.6 8 100.0 36.2 26.9 12.9
0.8 2 0.7 2 20 5 3100 1.4 4.6 2.6 7 98.8 34.0 22.7 11.7
0.8 3 0.9 3 19 5 2300 0.6 3.5 2.9 9 84.7 35.6 17.6 14.4
0.9 4 0.9 4 28 2 2700 0.9 5.2 2.8 10 96.2 33.7 23.3 11.7
0.8 3 0.8 4 28 1 2500 1.4 5.5 2.8 4 100.0 37.3 28.2 13.7
0.8 2 0.8 4 24 4 2800 0.6 3.3 2.9 7 47.9 30.9 15.4 12.8
0.8 3 0.8 3 26 2 2700 0.9 5 2.6 10 94.8 34.6 22.7 10.2
0.8 3 0.8 2 36 5 2100 1.3 5.4 2.9 2 75.8 24.6 18.8 8.0
0.7 3 0.9 3 17 2 2100 1.3 4.8 2.7 8 100.0 44.7 28.1 12.1
0.8 3 0.8 3 18 1 2100 0.9 5.1 2.9 6 100.0 54.0 36.5 19.4
0.8 3 0.7 2 26 2 3100 0.6 5.3 2.7 1 99.7 43.7 29.7 21.7
0.8 3 0.9 2 21 5 3900 1.4 4.9 2.7 7 100.0 33.5 23.1 11.1
0.9 2 0.8 2 33 5 2000 1.1 5.9 2.6 7 91.5 24.6 19.5 9.3
0.8 2 0.8 2 21 5 1700 0.7 4.2 2.8 10 95.5 35.4 22.6 14.3
0.9 4 0.9 3 33 3 1400 1.4 3.2 2.7 6 37.4 25.2 12.7 9.3
0.7 4 0.8 4 33 6 3800 0.9 4.9 3 3 68.7 23.7 15.4 7.7
0.7 2 0.8 4 22 2 3600 1.3 4.1 2.5 1 98.1 44.9 26.0 15.8
0.9 4 0.9 4 20 3 2000 0.8 4.8 2.9 5 100.0 47.2 26.6 14.7
0.8 3 0.9 2 20 2 2500 1.1 4 2.8 2 100.0 54.5 31.0 17.8
0.8 4 0.7 2 39 6 2700 0.9 4 2.7 4 40.2 21.1 10.7 7.3
0.8 3 0.9 4 16 1 1400 1.3 5.1 2.6 7 100.0 56.0 39.1 19.6
0.7 4 0.9 4 20 3 2800 0.8 3.6 2.8 6 82.9 43.2 20.2 11.0
0.8 2 0.8 3 35 4 3800 0.5 4 3 2 49.1 27.7 16.6 9.0
0.8 2 0.7 4 32 5 1800 1.4 4.4 2.7 5 53.7 24.9 14.1 8.9
0.8 2 0.8 4 16 5 3200 1.2 4.6 2.7 5 100.0 39.2 27.2 14.2
0.8 4 0.7 2 28 5 3600 1.2 5.5 2.8 4 97.6 27.6 23.1 9.5
0.7 4 0.7 2 20 1 1400 1.3 3 2.8 5 54.6 51.3 16.0 15.5
0.9 2 0.7 4 24 1 1100 1 3.9 2.9 8 61.3 42.6 17.2 13.0
0.8 2 0.8 3 19 6 2700 0.7 4.4 2.9 2 99.8 38.8 24.8 15.2
0.8 2 0.7 4 24 1 3300 1.3 5.6 2.5 8 100.0 35.1 30.4 13.1
0.9 2 0.8 2 16 3 2300 0.7 5.8 2.6 2 100.0 62.3 45.8 21.7
0.9 2 0.7 4 15 5 2100 0.9 5.9 2.7 3 100.0 46.0 38.8 18.2
0.8 2 0.9 2 33 6 1200 1.2 3.9 2.7 4 52.0 25.4 15.9 9.3
0.9 2 0.7 2 40 6 3300 0.9 5 2.6 6 52.8 19.8 13.4 7.7
0.9 2 0.7 2 24 3 2800 0.9 5.8 2.6 3 100.0 38.2 31.3 12.2
0.8 2 0.9 2 17 4 2300 1.4 3.1 2.7 1 92.0 75.0 14.5 27.7
0.8 3 0.9 2 34 4 3300 1 3.1 2.7 10 37.8 22.2 8.6 7.6
0.8 2 0.8 3 30 4 1900 0.8 3.3 2.9 2 44.2 31.8 13.2 10.6
0.7 4 0.9 2 35 4 1900 0.6 3.4 2.6 2 42.6 22.1 11.7 7.1
0.8 4 0.9 3 23 1 2400 1.4 4.2 2.6 9 88.8 39.1 22.5 12.5
0.9 2 0.8 2 16 5 1300 0.7 5.6 2.8 1 100.0 92.7 37.4 32.0
0.8 3 0.8 2 18 1 3400 0.9 3.1 2.9 6 72.1 59.0 20.5 20.0
0.8 2 0.7 3 21 1 1900 0.5 4.9 2.8 1 100.0 56.0 36.1 23.7
0.8 4 0.9 2 19 4 2100 0.6 5.7 2.7 4 100.0 35.9 30.1 12.6
0.8 3 0.9 2 20 4 2900 1.4 4.1 3 3 99.2 46.6 24.4 12.5
0.8 3 0.8 3 36 6 1000 1.3 5.7 2.7 4 76.5 24.1 18.1 9.0
0.7 3 0.8 4 20 1 3100 0.5 3.4 2.6 8 68.3 39.3 23.4 9.8
0.9 2 0.8 4 23 4 1800 1 3.7 2.7 4 66.7 33.6 17.9 12.5
0.8 4 0.8 2 26 2 1800 1.4 4.2 2.7 3 76.5 37.1 23.3 12.4
0.9 4 0.8 3 23 6 3200 0.7 3.1 2.8 5 50.3 31.4 12.6 12.6
0.9 4 0.8 4 33 6 2800 1.5 4.4 2.5 5 54.4 23.5 14.3 8.4
0.9 3 0.7 2 28 3 2300 1.4 4.7 2.6 9 70.9 26.5 16.1 9.7
0.7 3 0.8 2 22 1 1500 0.8 5.6 2.6 10 100.0 34.2 29.3 11.0
0.7 3 0.7 2 25 2 2100 0.6 5.8 3 9 100.0 32.1 24.4 7.4
0.8 2 0.8 3 39 3 2900 1.2 3.3 2.7 7 30.9 21.1 10.4 7.8
0.8 3 0.9 4 36 4 1200 1.2 3.8 2.8 5 44.4 24.0 14.4 8.6
0.8 4 0.8 4 19 1 3400 1 5.2 2.9 1 100.0 81.3 44.9 23.9
0.8 3 0.8 2 38 6 3200 1.4 4.4 2.7 10 46.6 20.7 12.7 6.8
0.8 4 0.9 4 38 1 3600 1.2 4.1 2.7 6 49.0 26.7 17.0 9.2
0.8 4 0.8 4 40 3 1000 0.9 5.9 2.7 5 69.9 22.0 17.7 7.8
0.8 3 0.8 3 36 6 2200 0.5 6 2.8 3 84.1 22.2 16.5 9.1
0.9 4 0.8 3 15 2 1000 1 3.9 2.9 8 100.0 60.8 26.5 18.6
0.9 3 0.8 2 39 4 2700 0.6 5.2 2.8 10 56.6 21.2 15.5 8.4
0.8 2 0.9 3 26 5 3600 1.2 5 2.8 7 97.9 28.0 22.9 10.3
0.8 4 0.9 3 40 2 2900 0.7 4.4 2.8 10 47.9 23.4 14.1 7.0
0.8 2 0.8 3 31 3 2500 0.9 4.6 2.8 9 63.1 25.8 17.1 9.8
0.9 4 0.8 3 33 1 1700 1.3 4.8 2.6 9 63.3 28.8 17.1 9.4
0.8 2 0.9 4 24 6 2300 1.3 5.6 2.5 1 100.0 45.3 25.8 15.6
0.8 4 0.7 3 40 6 3300 1.2 3.8 3 3 35.8 21.4 10.3 7.4
0.9 3 0.9 4 19 4 1600 1.1 3.8 2.9 1 99.4 78.2 25.0 24.4
0.7 4 0.8 4 27 4 1900 1.5 4 2.8 3 63.1 30.1 17.9 8.3
0.9 3 0.7 3 29 1 3600 1.2 4 2.8 4 59.4 38.8 19.4 13.1
0.9 4 0.9 2 37 6 2500 0.8 3.1 2.8 3 34.3 22.1 8.6 8.5
0.9 2 0.7 2 26 6 2900 1.3 5.3 3 10 97.2 32.9 19.8 10.3
0.7 3 0.7 2 36 5 2600 1.1 4.5 2.8 9 48.6 22.4 13.5 5.7
0.8 4 0.7 3 28 1 1900 1.2 3.5 2.6 5 49.6 38.9 19.3 13.9
0.8 4 0.8 3 19 2 2400 0.8 4.3 2.8 1 100.0 69.3 35.0 26.6
0.8 3 0.9 3 16 1 1900 1.2 3.5 2.8 10 98.9 55.0 22.2 15.8
0.8 2 0.8 4 22 6 2100 0.6 5.3 2.7 5 100.0 31.5 23.6 13.3
0.9 2 0.7 3 26 2 3100 0.7 6 2.9 2 100.0 44.1 31.0 14.9
0.7 4 0.8 4 32 6 2500 1.1 4.3 2.9 10 55.0 24.6 15.3 7.9
0.9 4 0.7 4 18 4 3900 0.9 5 2.7 6 100.0 38.6 28.7 15.1
0.8 3 0.9 2 40 3 1600 0.8 4.5 2.8 7 48.9 21.8 13.9 8.4
0.7 3 0.8 2 29 2 1100 1.2 3.9 2.9 7 54.8 30.4 16.0 8.8
0.8 4 0.8 4 25 1 1600 0.8 4.6 2.9 9 86.1 35.7 22.5 12.4
0.8 2 0.8 4 33 5 1600 0.6 5.4 3 6 77.7 25.6 18.5 10.1
